season,nest_id,natalsite,egg_id,female_band,female_id,f_age,male_band,male_id,m_age,clutch_no,date_eggs_found,lay_date,estimated_lay,total_eggs_clutch,candled,candled_date,fertile,egg_length,egg_width,candling_weight,loss_parent,loss_id,date_parent_lost,egg_managed,management_reason,notes,eggs_recovered_date,age_recovered_eggs,notes_transfer,days_ai,date_egg_transferbackto_nest,age_donor_eggs,returned_remained_natal,foster_site,foster_nest_id,foster_f_band,foster_f_id,hatched,hatched_date,eggfail_outcome,eggfail_cause,eggfail_date,chickfail_outcome,chickfail_cause,chickfail_date,chick_transfer_date_zoo,notes_chick_transfer,age_chick_transfer,chick_captive_reared,days_chick_captive_reared,transfer_date_to_aviary,release_date_from_aviary,release_site,fledgling_id,band_date,chick_weight_banding,fledged,fledge_date,comments
2003/2004,180,Waipu,NA,M-RW,C43984,4,BpG-M,C43879,6,1,27/11/2003,unknown,27/11/2003,2,1,11/12/2003,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,20/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C44015,7/01/2004,56.5,1,unknown,NA
2003/2004,181,Mangawhai,NA,RpG-M,C43876,6,unbanded male,unbanded male,NA,2,22/12/2003,22/12/2003,22/12/2003,2,1,5/01/2004,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,removed,embryo death,5/01/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,181,Mangawhai,NA,RpG-M,C43876,6,unbanded male,unbanded male,NA,2,23/12/2003,23/12/2003,23/12/2003,2,1,5/01/2004,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,removed,embryo death,5/01/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,182,Mangawhai,NA,unbanded female,unbanded female,NA,RB-M,C43875,6,1,24/12/2003,24/12/2003,24/12/2003,2,1,5/01/2004,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,no hatch,embryo death,5/02/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,182,Mangawhai,NA,unbanded female,unbanded female,NA,RB-M,C43875,6,1,25/12/2003,25/12/2003,25/12/2003,2,1,5/01/2004,1,NA,NA,NA,0,NA,NA,donate,parents had previously abondoned a nest,NA,13/01/2004,19,NA,0,13/01/2004,19,0,Mangawhai,181,RpG-M,C43876,1,17/01/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C41575,NA,58.5,1,unknown,NA
2003/2004,192,Papakanui,NA,WpG-M,C42541,11,unbanded male,unbanded male,NA,1,7/11/2003,unknown,7/11/2003,2,1,unknown,1,NA,NA,NA,0,NA,NA,ai,abandoned,NA,24/11/2003,17,NA,4,28/11/2003,21,0,Mangawhai,177,RpG-M,C43876,1,3/12/2003,NA,NA,NA,chick death,unknown,5/12/2003,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,192,Papakanui,NA,WpG-M,C42541,11,unbanded male,unbanded male,NA,1,9/11/2003,unknown,9/11/2003,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,deemed non viable at zoo,dented/craced,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,193,Papakanui,NA,unbanded female,unbanded female,NA,M-RB,C41557,3,1,29/11/2003,unknown,29/11/2003,2,1,02/12/2003,1,NA,NA,NA,0,NA,NA,ai,abandoned,NA,02/12/2003,4,NA,13,15/12/2003,17,0,Papakanui,194,WpG-M,C42541,1,24/12/2003,NA,NA,NA,unknown,unknown,27/12/2003,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,193,Papakanui,NA,unbanded female,unbanded female,NA,M-RB,C41557,3,1,1/12/2003,unknown,1/12/2003,2,1,02/12/2003,0,NA,NA,NA,0,NA,NA,none,abandoned, Used as dummy egg in nest 194 alongside live egg ,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,no hatch,failed to hatch,02/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,194,Papakanui,NA,WpG-M,C42541,11,unbanded male,unbanded male,NA,2,6/12/2003,unknown,6/12/2003,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,15/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,194,Papakanui,NA,WpG-M,C42541,11,unbanded male,unbanded male,NA,2,6/12/2003,unknown,6/12/2003,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,15/12/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2003/2004,195,Pakiri,NA,M-WR,C28703,4,M-YW,C28709,4,1,11/12/2003,unknown,11/12/2003,1,0,NA,1,NA,NA,NA,0,NA,NA,ai,unknown,NA,16/12/2003,5,NA,13,29/12/2003,18,0,Papakanui,194,WpG-M,C42541,1,5/01/2004,NA,NA,NA,unknown,unknown,14/01/2004,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,183,Mangawhai,NA,RpG-M,C43876,7,unbanded male,unbanded male,NA,1,15/11/2004,15/11/2004,15/11/2004,2,1,2/12/2004,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,left to be eventually predated,infertile but had been abandoned for e day during storm on 26th,2/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,183,Mangawhai,NA,RpG-M,C43876,7,unbanded male,unbanded male,NA,1,15/11/2004,15/11/2004,15/11/2004,2,1,2/12/2004,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,left to be eventually predated,infertile but had been abandoned for e day during storm on 26th,2/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,184,Mangawhai,NA,unbanded female,unbanded female,NA,RB-M,C43875,7,1,17/11/2004,17/11/2004,17/11/2004,2,1,2/12/2004,1,NA,NA,NA,1,unbanded f,12/12/2204,none,NA,adult f also killed by cat,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,pred,cat,12/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,adult f also killed by cat
2004/2005,184,Mangawhai,NA,unbanded female,unbanded female,NA,RB-M,C43875,7,1,19/11/2004,19/11/2004,19/11/2004,2,1,2/12/2004,1,NA,NA,NA,1,unbanded f,12/12/2204,none,NA,adult f also killed by cat,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,pred,cat,12/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,adult f also killed by cat
2004/2005,185,Waipu,NA,M-WpG,C28712,5,WB-M,C42539,12,1,17/11/2004,17/11/2004,17/11/2004,2,1,2/12/2004,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,left in scrape,infertile,2/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,185,Waipu,NA,M-WpG,C28712,5,WB-M,C42539,12,1,19/11/2004,19/11/2004,19/11/2004,2,1,2/12/2004,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,14/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C69001,31/12/2004,59,1,unknown,NA
2004/2005,186,Mangawhai,NA,M-WY,C28704,5,pGY-M,C43813,10,1,28/11/2004,28/11/2004,28/11/2004,1,1,15/12/2004,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,19/12/2004,NA,NA,NA,predated,cat,22/12/2004,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,187,Waipu,NA,M-RW,C43984,5,BpG-M,C43879,7,1,28/11/2004,unknown,28/11/2004,1,1,15/12/2004,1,NA,NA,NA,0,NA,NA,donate,to make room for Pakiri eggs nest 191,NA,19/12/2004,21,NA,0,19/12/2004,21,0,Mangawhai,186,M-WY,C28704,0,NA,predated,cat,22/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,188,Mangawhai,NA,RpG-M,C42541,12,unbanded male,unbanded male,NA,2,21/12/2004,22/12/2004,22/12/2004,2,1,31/12/2004,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,left to be eventually predated,infertile,31/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,188,Mangawhai,NA,RpG-M,C42541,12,unbanded male,unbanded male,NA,2,21/12/2004,22/12/2004,22/12/2004,2,1,31/12/2004,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,left to be eventually predated,infertile,31/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,189,Waipu,NA,M-YB,C41553,4,M-pGY,C44014,4,1,26/12/2004,26/12/2004,26/12/2004,1,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,presumed predated by black back guls,5/01/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,190,Papakanui,NA,WpG-M,C42541,12,unbanded male,unbanded male,NA,1,10/11/2004,unknown,10/11/2004,2,1,unknown,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,storm,25/11/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,190,Papakanui,NA,WpG-M,C42541,12,unbanded male,unbanded male,NA,1,10/11/2004,unknown,10/11/2004,2,1,unknown,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,storm,25/11/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2004/2005,191,Pakiri,NA,M-WR,C28703,5,M-YW,C28709,5,1,27/11/2004,27/11/2004,27/11/2004,2,0,NA,1,NA,NA,NA,0,NA,NA,ai,unknown,NA,10/12/2004,13,NA,9,19/12/2004,22,0,Waipu,187,M-RW,C43984,1,24/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C69002,12/01/2005,58,1,unknown,NA
2004/2005,191,Pakiri,NA,M-WR,C28703,5,M-YW,C28709,5,1,1/12/2004,unknown,29/11/2004,2,0,NA,1,NA,NA,NA,0,NA,NA,ai,unknown,NA,10/12/2004,11,NA,9,19/12/2004,20,0,Waipu,187,M-RW,C43984,1,25/12/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,C69003,12/01/2005,58.5,1,unknown,NA
2004/2005,196,Mangawhai,NA,unbanded female,unbanded female,NA,unbanded male,unbanded male,NA,1,26/11/2004,unknown,26/11/2004,1,0,NA,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,tide/storm,26/11/2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,198,Waipu,NA,M-WpG,C28712,6,WB-M,C42539,13,1,8/11/2005,8/11/2005,8/11/2005,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,human,11/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,198,Waipu,NA,M-WpG,C28712,6,WB-M,C42539,13,1,9/11/2005,9/11/2005,9/11/2005,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,human,11/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,199,Waipu,NA,M-RW,C43984,6,BpG-M,C43879,8,1,9/11/2005,9/11/2005,9/11/2005,2,1,18/11/2005,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,3/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69004,23/12/2005,NA,1,unknown,NA
2005/2006,199,Waipu,NA,M-RW,C43984,6,BpG-M,C43879,8,1,11/11/2005,11/11/2005,10/11/2005,2,1,18/11/2005,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,4/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69005,23/12/2005,NA,1,unknown,NA
2005/2006,200,Mangawhai,NA,RpG-M,C43876,8,RB-M,C43875,8,1,18/11/2005,18/11/2005,18/11/2005,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,storm,26/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,200,Mangawhai,NA,RpG-M,C43876,8,RB-M,C43875,8,1,20/11/2005,20/11/2005,20/11/2005,2,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,storm,26/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,201,Mangawhai,NA,M-BpG,C41566,4,unbanded male,unbanded male,NA,1,20/11/2005,20/11/2005,20/11/2005,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,24/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,201,Mangawhai,NA,M-BpG,C41566,4,unbanded male,unbanded male,NA,1,22/11/2005,22/11/2005,22/11/2005,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,24/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,202,Waipu,NA,M-WpG,C28712,6,WB-M,C42539,13,2,21/11/2005,21/11/2005,21/11/2005,2,0,NA,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,likely predated,30/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,202,Waipu,NA,M-WpG,C28712,6,WB-M,C42539,13,2,23/11/2005,23/11/2005,23/11/2005,2,1,1/12/2005,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,11/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69006,31/12/2005,NA,1,unknown,NA
2005/2006,203,Waipu,NA,M-YB,C41553,5,M-pGY,C44014,5,1,25/11/2005,25/11/2005,25/11/2005,1,0,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,"cracked, storm",27/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,204,Mangawhai,NA,RpG-M,C43876,8,RB-M,C43875,8,2,9/12/2005,9/12/2005,9/12/2005,2,unknown,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,likely predated,12/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,204,Mangawhai,NA,RpG-M,C43876,8,RB-M,C43875,8,2,9/12/2005,9/12/2005,9/12/2005,2,unknown,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,disappeared,likely predated,12/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,205,Mangawhai,NA,M-pGR,C41567,4,pGY-M,C43813,7,1,14/12/2005,14/12/2005,14/12/2005,2,1,21/12/2005,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69009,23/01/2006,NA,1,unknown,m incorrectly labelled as pGW-M in seasonal report see DOC1014132
2005/2006,205,Mangawhai,NA,M-pGR,C41567,4,pGY-M,C43813,7,1,14/12/2005,14/12/2005,14/12/2005,2,1,21/12/2005,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69010,23/01/2006,NA,1,unknown,m incorrectly labelled as pGW-M in seasonal report see DOC1014132
2005/2006,206,Mangawhai,NA,Y-BM,C41573,2,pG-M,unknown,NA,1,18/12/2005,18/12/2005,18/12/2005,1,1,21/12/2005,unknown,NA,NA,NA,0,NA,NA,none,NA,found abandoned and brought to zoo,21/12/2005,3,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,tide/storm,21/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,207,Mangawhai,NA,RpG-M,C43876,8,RB-M,C43875,8,3,23/12/2005,23/12/2005,21/12/2005,2,unknown,NA,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,13/01/2006,NA,NA,NA,disappeared,tide/storm,24/01/2006,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,207,Mangawhai,NA,RpG-M,C43876,8,RB-M,C43875,8,3,23/12/2005,23/12/2005,21/12/2005,2,unknown,NA,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,13/01/2006,NA,NA,NA,disappeared,tide/storm,24/01/2006,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,208,Pakiri,NA,M-WR,C28703,6,M-YW,C28709,6,1,27/11/2005,27/11/2005,27/11/2005,2,unknown,NA,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,21/12/2005,NA,NA,NA,chick death,"health, congenita defect",unknown,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,208,Pakiri,NA,M-WR,C28703,6,M-YW,C28709,6,1,28/11/2005,27/11/2005,28/11/2005,2,unknown,NA,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,21/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69007,NA,NA,1,unknown,NA
2005/2006,209,Papakanui,NA,WpG-M,C42541,13,unbanded male,unbanded male,NA,1,1/11/2005,31/10/2005,31/10/2005,2,1,11/11/2005,1,NA,NA,NA,0,NA,NA,donate,nest abandoned-possibly WT disturbance,NA,24/11/2005,23,NA,0,24/11/2005,23,0,Mangawhai,201,M-BpG,C41566,0,NA,pred,pred unknown,25/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,209,Papakanui,NA,WpG-M,C42541,13,unbanded male,unbanded male,NA,1,2/11/2005,2/11/2005,2/11/2005,2,0,11/11/2005,0,NA,NA,NA,0,NA,NA,donate,nest abandoned-possibly WT disturbance,NA,24/11/2005,22,NA,0,24/11/2005,22,0,Mangawhai,201,M-BpG,C41566,0,NA,pred,pred unknown,25/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,210,Papakanui,NA,unbanded female,unbanded female,NA,unbanded male,unbanded male,NA,1,10/11/2005,10/11/2005,10/11/2005,2,0,NA,0,NA,NA,NA,0,NA,NA,none,NA," went to the zoo on 12/11/05, both clear",NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,tide/storm,12/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,210,Papakanui,NA,unbanded female,unbanded female,NA,unbanded male,unbanded male,NA,1,12/11/2005,12/11/2005,12/11/2005,2,0,NA,0,NA,NA,NA,0,NA,NA,none,NA," went to the zoo on 12/11/05, both clear",NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,tide/storm,12/11/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,211,Papakanui,NA,M-BY,C41563,4,M-RB,C41557,5,1,11/11/2005,11/11/2005,11/11/2005,2,unknown,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,pred,pred unknown,11/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,211,Papakanui,NA,M-BY,C41563,4,M-RB,C41557,5,1,16/11/2005,unknown,13/11/2005,2,unknown,NA,unknown,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,pred,pred unknown,11/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,212,Papakanui,NA,WpG-M,C42541,13,unbanded male,unbanded male,NA,2,6/12/2005,unknown,5/12/2005,2,0,NA,unknown,NA,NA,NA,1,unbanded m,10/12/2005,none,NA,"brought to zoo, on 10th candled and found clear on 13th",NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,one parent,11/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,212,Papakanui,NA,WpG-M,C42541,13,unbanded male,unbanded male,NA,2,6/12/2005,unknown,06/12/2005,2,0,NA,unknown,NA,NA,NA,1,unbanded m,10/12/2005,none,NA,"brought to zoo, 10th candled and found clear 3 days later",NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,abandon,one parent,11/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,213,Papakanui,NA,nil-M,C42540,13,B-RM,C41571,2,1,8/12/2005,unknown,7/12/2005,2,0,NA,1,NA,NA,NA,0,NA,NA,ai,weather,NA,13/12/2005,10,"returned to nest on 22nd, despite continuing bad weatehr.  On 23rd removed again but put in portable incubator at base overnight and then transferred to foster nest on 24th",11,24/12/2005,18,0,Mangawhai,M214,M-BpG,C41566,1,30/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69008,NA,NA,1,unknown,NA
2005/2006,213,Papakanui,NA,nil-M,C42540,13,B-RM,C41571,2,1,8/12/2005,unknown,7/12/2005,2,0,NA,1,NA,NA,NA,0,NA,NA,ai,weather,NA,13/12/2005,10,"returned to nest on 22nd, despite continuing bad weatehr.  On 23rd removed again but put in portable incubator at base overnight and then transferred to foster nest on 24th",11,24/12/2005,18,0,Mangawhai,M214,M-BpG,C41566,1,1/01/2006,NA,NA,NA,euthanised,injured by pecks,6/01/2006,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,214,Mangawhai,NA,M-BpG,C41566,4,unbanded male,unbanded male,NA,2,19/12/2005,19/12/2005,19/12/2005,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,24/12/2005,5,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,24/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2005/2006,214,Mangawhai,NA,M-BpG,C41566,4,unbanded male,unbanded male,NA,2,20/12/2005,20/12/2005,20/12/2005,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,24/12/2005,4,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,24/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2006/2007,215,Mangawhai,NA,M-BpG,C41566,5,unbanded male,unbanded male,NA,1,19/11/2006,19/11/2006,19/11/2006,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,15/12/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2006/2007,215,Mangawhai,NA,M-BpG,C41566,5,unbanded male,unbanded male,NA,1,21/11/2006,21/11/2006,21/11/2006,2,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,15/12/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2006/2007,216,Mangawhai,NA,M-BpG,C41566,5,unbanded male,unbanded male,NA,2,12/01/2007,12/01/2007,12/01/2007,1,1,unknown,0,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,0,NA,removed,infertile,4/02/2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
2006/2007,217,Mangawhai,NA,RpG-M,C43876,9,RB-M,C43875,9,1,22/11/2006,22/11/2006,22/11/2006,2,1,unknown,1,NA,NA,NA,0,NA,NA,none,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,NA,NA,1,13/12/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,C69012,2/01/2007,NA,1,14/01/2007,NA
